company¬,country¬,director¬,genre¬,name¬,rating¬,runtime¬,writer¬,year¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,Stan Winston¬,Fantasy¬,Pumpkinhead¬,R¬,86¬,Ed Justin¬,1988¬,,,
Metro-Goldwyn-Mayer (MGM)¬,UK¬,Charles Crichton¬,Comedy¬,A Fish Called Wanda¬,R¬,108¬,John Cleese¬,1988¬,,,
Sarlui ¬, Diamant¬,USA¬,Stephen Chiodo¬,15625095.0¬,Killer Klowns from Outer Space¬,270588¬,25440¬,Charles Chiodo¬,1988¬,,
Universal Pictures¬,USA¬,Martin Brest¬,Action¬,Midnight Run¬,R¬,126¬,George Gallo¬,1988¬,,,
Film Futures¬,UK¬,Tony Randel¬,Horror¬,Hellbound: Hellraiser II¬,R¬,97¬,Clive Barker¬,1988¬,,,
Orion Pictures¬,USA¬,Alan Parker¬,Crime¬,Mississippi Burning¬,R¬,128¬,Chris Gerolmo¬,1988¬,,,
Paramount Pictures¬,USA¬,David Zucker¬,Comedy¬,The Naked Gun: From the Files of Police Squad!¬,PG-13¬,85¬,Jerry Zucker¬,1988¬,,,
Cannon International¬,USA¬,Newt Arnold¬,Action¬,Bloodsport¬,R¬,92¬,Sheldon Lettich¬,1988¬,,,
Twentieth Century Fox Film Corporation¬,USA¬,Mike Nichols¬,Comedy¬,Working Girl¬,R¬,113¬,Kevin Wade¬,1988¬,,,
Paramount Pictures¬,Australia¬,John Cornell¬,Action¬,Crocodile Dundee II¬,PG¬,108¬,Paul Hogan¬,1988¬,,,
Universal Pictures¬,USA¬,Don Bluth¬,Animation¬,The Land Before Time¬,G¬,69¬,Stu Krieger¬,1988¬,,,
Universal Pictures¬,USA¬,Ivan Reitman¬,Comedy¬,Twins¬,PG¬,107¬,William Davies¬,1988¬,,,
Lorimar Film Entertainment¬,USA¬,Stephen Frears¬,Drama¬,Dangerous Liaisons¬,R¬,119¬,Christopher Hampton¬,1988¬,,,
The Saul Zaentz Company¬,USA¬,Philip Kaufman¬,Drama¬,The Unbearable Lightness of Being¬,R¬,171¬,Milan Kundera¬,1988¬,,,
Gaumont¬,France¬,Luc Besson¬,Adventure¬,The Big Blue¬,R¬,168¬,Luc Besson¬,1988¬,,,
All Girl Productions¬,USA¬,Garry Marshall¬,Comedy¬,Beaches¬,PG-13¬,123¬,Iris Rainer¬,1988¬,,,
Trancas International Films¬,USA¬,Dwight H. Little¬,Horror¬,Halloween 4: The Return of Michael Myers¬,R¬,88¬,Dhani Lipsius¬,1988¬,,,
Morgan Creek Productions¬,USA¬,Christopher Cain¬,Action¬,Young Guns¬,R¬,107¬,John Fusco¬,1988¬,,,
Carolco Pictures¬,USA¬,Walter Hill¬,Action¬,Red Heat¬,R¬,104¬,Walter Hill¬,1988¬,,,
Night Life Inc.¬,USA¬,Donald Petrie¬,Comedy¬,Mystic Pizza¬,R¬,104¬,Amy Holden Jones¬,1988¬,,,
Carolco Pictures¬,USA¬,Peter MacDonald¬,Action¬,Rambo III¬,R¬,102¬,David Morrell¬,1988¬,,,
Paramount Pictures¬,Canada¬,Jonathan Kaplan¬,Drama¬,Acusados¬,R¬,111¬,Tom Topor¬,1988¬,,,
Universal Pictures¬,Canada¬,Martin Scorsese¬,Drama¬,The Last Temptation of Christ¬,R¬,164¬,Nikos Kazantzakis¬,1988¬,,,
New Line Cinema¬,USA¬,John Waters¬,Comedy¬,Hairspray¬,PG¬,92¬,John Waters¬,1988¬,,,
Orion Pictures¬,USA¬,Frank Oz¬,Comedy¬,Dirty Rotten Scoundrels¬,PG¬,110¬,Dale Launer¬,1988¬,,,
New Line Cinema¬,USA¬,Renny Harlin¬,Horror¬,A Nightmare on Elm Street 4: The Dream Master¬,R¬,93¬,Wes Craven¬,1988¬,,,
American Playhouse¬,USA¬,Ram�n Men�ndez¬,Drama¬,Stand and Deliver¬,PG¬,103¬,Ram�n Men�ndez¬,1988¬,,,
Hughes Entertainment¬,USA¬,Howard Deutch¬,Comedy¬,The Great Outdoors¬,PG¬,91¬,John Hughes¬,1988¬,,,
DDM Film Corporation¬,USA¬,Zalman King¬,Drama¬,Two Moon Junction¬,R¬,104¬,Zalman King¬,1988¬,,,
The Mount Company¬,USA¬,Ron Shelton¬,Comedy¬,Bull Durham¬,R¬,108¬,Ron Shelton¬,1988¬,,,
Warner Bros.¬,USA¬,Andrew Davis¬,Action¬,Above the Law¬,R¬,99¬,Andrew Davis¬,1988¬,,,
De Laurentiis Entertainment Group (DEG)¬,UK¬,Julien Temple¬,Comedy¬,Earth Girls Are Easy¬,PG¬,100¬,Julie Brown¬,1988¬,,,
Walt Disney Feature Animation¬,USA¬,George Scribner¬,Animation¬,Oliver & Company¬,G¬,74¬,Jim Cox¬,1988¬,,,
Warner Bros.¬,USA¬,Buddy Van Horn¬,Action¬,The Dead Pool¬,R¬,91¬,Harry Julian Fink¬,1988¬,,,
NBC Productions¬,USA¬,James Signorelli¬,Comedy¬,Elvira: Mistress of the Dark¬,PG-13¬,96¬,Sam Egan¬,1988¬,,,
Paramount Pictures¬,USA¬,Richard Donner¬,Comedy¬,Scrooged¬,PG-13¬,101¬,Mitch Glazer¬,1988¬,,,
Cinema City Films¬,USA¬,Robert Towne¬,Crime¬,Tequila Sunrise¬,R¬,115¬,Robert Towne¬,1988¬,,,
Warner Bros.¬,USA¬,Roman Polanski¬,Crime¬,Frantic¬,R¬,120¬,Roman Polanski¬,1988¬,,,
Paramount Pictures¬,USA¬,John Carl Buechler¬,Horror¬,Friday the 13th Part VII: The New Blood¬,R¬,88¬,Daryl Haney¬,1988¬,,,
Twentieth Century Fox Film Corporation¬,USA¬,Greg Beeman¬,Comedy¬,License to Drive¬,PG-13¬,88¬,Neil Tolkin¬,1988¬,,,
Prominent Features¬,UK¬,Terry Gilliam¬,Adventure¬,The Adventures of Baron Munchausen¬,PG¬,126¬,Charles McKeown¬,1988¬,,,
Morgan Creek Productions¬,Canada¬,David Cronenberg¬,Drama¬,Dead Ringers¬,R¬,116¬,David Cronenberg¬,1988¬,,,
Metro-Goldwyn-Mayer (MGM)¬,USA¬,Gary Sherman¬,Horror¬,Poltergeist III¬,PG-13¬,98¬,Gary Sherman¬,1988¬,,,
Vista Organization¬,USA¬,Tommy Lee Wallace¬,Comedy¬,Fright Night Part 2¬,R¬,104¬,Tom Holland¬,1988¬,,,
Front Films¬,USA¬,Keenen Ivory Wayans¬,Action¬,I'm Gonna Git You Sucka¬,R¬,88¬,Keenen Ivory Wayans¬,1988¬,,,
Zacharias-Buhai Productions¬,USA¬,Bud S. Smith¬,Comedy¬,Johnny Be Good¬,R¬,91¬,Steve Zacharias¬,1988¬,,,
Shapiro-Glickenhaus Entertainment¬,USA¬,William Lustig¬,Action¬,Maniac Cop¬,R¬,85¬,Larry Cohen¬,1988¬,,,
Orion Pictures¬,USA¬,Jonathan Demme¬,Comedy¬,Married to the Mob¬,R¬,104¬,Barry Strugatz¬,1988¬,,,
Orion Pictures¬,USA¬,Dennis Hopper¬,Action¬,Colors¬,R¬,120¬,Michael Schiffer¬,1988¬,,,
Vision PDG¬,Ireland¬,Neil Jordan¬,Comedy¬,El Hotel de los Fantasmas¬,PG-13¬,99¬,Neil Jordan¬,1988¬,,,
Double Play¬,USA¬,Sidney Lumet¬,Crime¬,Running on Empty¬,PG-13¬,116¬,Naomi Foner¬,1988¬,,,
Blue Rider Pictures¬,USA¬,Kevin Tenney¬,Comedy¬,Night of the Demons¬,R¬,90¬,Joe Augustyn¬,1988¬,,,
Mac and Me Joint Venture¬,USA¬,Stewart Raffill¬,Adventure¬,Mac and Me¬,PG¬,95¬,Stewart Raffill¬,1988¬,,,
New Line Cinema¬,USA¬,Mick Garris¬,Comedy¬,Critters 2¬,PG-13¬,86¬,David Twohy¬,1988¬,,,
Weintraub Entertainment Group¬,USA¬,Richard Benjamin¬,Comedy¬,My Stepmother Is an Alien¬,PG-13¬,105¬,Jerico¬,1988¬,,,
Lorimar Film Entertainment¬,USA¬,Ken Wiederhorn¬,Comedy¬,Return of the Living Dead II¬,R¬,89¬,Ken Wiederhorn¬,1988¬,,,
TriStar Pictures¬,USA¬,Kenneth Johnson¬,Comedy¬,Short Circuit 2¬,PG¬,110¬,Brent Maddock¬,1988¬,,,
Universal Pictures¬,USA¬,Michael Apted¬,Biography¬,Gorillas in the Mist¬,PG-13¬,129¬,Harold T.P. Hayes¬,1988¬,,,
Magellan Pictures¬,USA¬,Robert Bierman¬,Comedy¬,Vampire's Kiss¬,R¬,103¬,Joseph Minion¬,1988¬,,,
Island Pictures¬,USA¬,William Richert¬,Comedy¬,A Night in the Life of Jimmy Reardon¬,R¬,90¬,William Richert¬,1988¬,,,
Metro-Goldwyn-Mayer (MGM)¬,UK¬,Michael Hoffman¬,Comedy¬,Some Girls¬,R¬,94¬,Rupert Walters¬,1988¬,,,
White Lair¬,UK¬,Ken Russell¬,Comedy¬,The Lair of the White Worm¬,R¬,93¬,Ken Russell¬,1988¬,,,
Vestron Pictures¬,USA¬,Anthony Hickox¬,Comedy¬,Waxwork¬,R¬,95¬,Anthony Hickox¬,1988¬,,,
Universal Pictures¬,USA¬,Wes Craven¬,Fantasy¬,The Serpent and the Rainbow¬,R¬,98¬,Wade Davis¬,1988¬,,,
Columbia Pictures Corporation¬,Sweden¬,Ken Annakin¬,Family¬,Las travesuras de una pelirojja¬,G¬,100¬,Astrid Lindgren¬,1988¬,,,
Orion Pictures¬,USA¬,John Sayles¬,Drama¬,Eight Men Out¬,PG¬,119¬,Eliot Asinof¬,1988¬,,,
New Sky Communications Inc.¬,USA¬,Frank LaLoggia¬,Fantasy¬,Lady in White¬,PG-13¬,113¬,Frank LaLoggia¬,1988¬,,,
Laurenfilm¬,Spain¬,Pedro Almod�var¬,Comedy¬,Women on the Verge of a Nervous Breakdown¬,R¬,88¬,Pedro Almod�var¬,1988¬,,,
Paramount Pictures¬,USA¬,John Hughes¬,Comedy¬,She's Having a Baby¬,PG-13¬,106¬,John Hughes¬,1988¬,,,
Spacegate Productions¬,USA¬,Don Coscarelli¬,Action¬,Phantasm II¬,R¬,97¬,Don Coscarelli¬,1988¬,,,
United Artists¬,Japan¬,James Bridges¬,Drama¬,Luces de una gran ciudad¬,R¬,107¬,Jay McInerney¬,1988¬,,,
Paramount Pictures¬,USA¬,Peter Hyams¬,Action¬,The Presidio¬,R¬,97¬,Larry Ferguson¬,1988¬,,,
Touchstone Pictures¬,USA¬,Jim Abrahams¬,Comedy¬,Big Business¬,PG¬,97¬,Dori Pierson¬,1988¬,,,
Orion Pictures¬,USA¬,George A. Romero¬,Drama¬,Monkey Shines¬,R¬,113¬,Michael Stewart¬,1988¬,,,
Cornelius Productions¬,USA¬,George Roy Hill¬,Comedy¬,Funny Farm¬,PG¬,101¬,Jay Cronley¬,1988¬,,,
Incorporated Television Company (ITC)¬,UK¬,Thom Eberhardt¬,Comedy¬,Without a Clue¬,PG¬,107¬,Gary Murphy¬,1988¬,,,
American Entertainment Partners II L.P.¬,USA¬,Graham Baker¬,Action¬,Alien Nation¬,R¬,91¬,Rockne S. O'Bannon¬,1988¬,,,
Atlantic Entertainment Group¬,USA¬,Ernest Thompson¬,Drama¬,1969¬,R¬,95¬,Ernest Thompson¬,1988¬,,,
Cinetel Films¬,USA¬,Robert Englund¬,Comedy¬,976-EVIL¬,R¬,92¬,Brian Helgeland¬,1988¬,,,
Lorimar Film Entertainment¬,USA¬,Craig R. Baxley¬,Action¬,Action Jackson¬,R¬,96¬,Robert Reneau¬,1988¬,,,
Esparza¬,USA¬,Robert Redford¬,Comedy¬,The Milagro Beanfield War¬,R¬,117¬,John Nichols¬,1988¬,,,
Lucasfilm¬,USA¬,Francis Ford Coppola¬,Biography¬,Tucker: The Man and His Dream¬,PG¬,110¬,Arnold Schulman¬,1988¬,,,
Warner Bros.¬,USA¬,Alan Myerson¬,Comedy¬,Police Academy 5: Assignment: Miami Beach¬,PG¬,90¬,Neal Israel¬,1988¬,,,
Columbia Pictures Corporation¬,USA¬,Spike Lee¬,Comedy¬,School Daze¬,R¬,121¬,Spike Lee¬,1988¬,,,
Columbia Pictures Corporation¬,USA¬,Brian Gilbert¬,Comedy¬,Vice Versa¬,PG¬,98¬,F. Anstey¬,1988¬,,,
Hemdale¬,USA¬,Steve De Jarnatt¬,Action¬,Miracle Mile¬,R¬,87¬,Steve De Jarnatt¬,1988¬,,,
Forum Sarajevo¬,UK¬,Emir Kusturica¬,Comedy¬,Time of the Gypsies¬,R¬,142¬,Emir Kusturica¬,1988¬,,,
Warner Bros.¬,USA¬,Lawrence Kasdan¬,Drama¬,The Accidental Tourist¬,PG¬,121¬,Anne Tyler¬,1988¬,,,
Zanuck¬,Brown Productions¬,USA¬,Daniel Petrie¬,18924919.0¬,Cocoon: The Return¬,231188¬,12956¬,David Saperstein¬,1988¬,,
A&M; Films¬,USA¬,Kevin Reynolds¬,War¬,The Beast of War¬,R¬,111¬,William Mastrosimone¬,1988¬,,,
Producers Representative Organization¬,UK¬,Martin Donovan¬,Drama¬,Apartment Zero¬,R¬,124¬,Martin Donovan¬,1988¬,,,
TriStar Pictures¬,USA¬,Carl Schultz¬,Drama¬,The Seventh Sign¬,R¬,97¬,Clifford Green¬,1988¬,,,
Metro-Goldwyn-Mayer (MGM)¬,USA¬,Bob Swaim¬,Drama¬,Masquerade¬,R¬,100¬,Dick Wolf¬,1988¬,,,
Jack Rollins & Charles H. Joffe Productions¬,USA¬,Woody Allen¬,Drama¬,Another Woman¬,PG¬,81¬,Woody Allen¬,1988¬,,,
"Malpaso Company, The¬",USA¬,Clint Eastwood¬,Biography¬,Bird¬,R¬,161¬,Joel Oliansky¬,1988¬,,,
Film Four International¬,UK¬,Peter Greenaway¬,Comedy¬,Drowning by Numbers¬,R¬,118¬,Peter Greenaway¬,1988¬,,,
Cannon Entertainment¬,Australia¬,Fred Schepisi¬,Drama¬,A Cry in the Dark¬,PG-13¬,120¬,John Bryson¬,1988¬,,,
Rastar Pictures¬,USA¬,Mike Nichols¬,Comedy¬,Biloxi Blues¬,PG-13¬,106¬,Neil Simon¬,1988¬,,,
Cineplex-Odeon Films¬,USA¬,Oliver Stone¬,Drama¬,Talk Radio¬,R¬,110¬,Stephen Singular¬,1988¬,,,
Price¬,France¬,Jean-Jacques Annaud¬,Adventure¬,The Bear¬,PG¬,96¬,James Oliver Curwood¬,1988¬,,,
Jascat¬,USA¬,Genevi�ve Robert¬,Comedy¬,Casual Sex?¬,R¬,97¬,Wendy Goldman¬,1988¬,,,
"Guber-Peters Company, The¬",USA¬,Allan Arkush¬,Comedy¬,Caddyshack II¬,PG¬,98¬,Brian Doyle-Murray¬,1988¬,,,
Imagine Entertainment¬,USA¬,Ken Kwapis¬,Adventure¬,Vibes¬,PG¬,99¬,Deborah Blum¬,1988¬,,,
Touchstone Pictures¬,USA¬,Roger Spottiswoode¬,Action¬,Shoot to Kill¬,R¬,110¬,Harv Zimmel¬,1988¬,,,
TriStar Pictures¬,USA¬,John G. Avildsen¬,Comedy¬,For Keeps?¬,PG-13¬,90¬,Tim Kazurinsky¬,1988¬,,,
Warner Bros.¬,Australia¬,Yahoo Serious¬,Comedy¬,Young Einstein¬,PG¬,91¬,David Roach¬,1988¬,,,
Hemdale¬,USA¬,Martin Campbell¬,Crime¬,Criminal Law¬,R¬,117¬,Mark Kasdan¬,1988¬,,,
National Broadcasting Company (NBC)¬,USA¬,Joan Freeman¬,Comedy¬,Satisfaction¬,PG-13¬,92¬,Charles Purpura¬,1988¬,,,
United Artists¬,USA¬,Costa-Gavras¬,Drama¬,Betrayed¬,R¬,127¬,Joe Eszterhas¬,1988¬,,,
Imagine Films Entertainment¬,USA¬,Glenn Gordon Caron¬,Drama¬,Clean and Sober¬,R¬,124¬,Tod Carroll¬,1988¬,,,
Concorde Pictures¬,Canada¬,Jon Hess¬,Action¬,Al borde del terror¬,R¬,91¬,Dean R. Koontz¬,1988¬,,,
Abramoff Production¬,South Africa¬,Joseph Zito¬,Action¬,Escorpion rojo¬,R¬,105¬,Robert Abramoff¬,1988¬,,,
Bigelow Productions¬,USA¬,Annabel Jankel¬,Mystery¬,D.O.A.¬,R¬,96¬,Charles Edward Pogue¬,1988¬,,,
Golan-Globus Productions¬,USA¬,Michael Winner¬,Crime¬,Appointment with Death¬,PG¬,100¬,Agatha Christie¬,1988¬,,,
Cadrage¬,UK¬,Mira Nair¬,Crime¬,Salaam Bombay!¬,NOT RATED¬,113¬,Hriday Lani¬,1988¬,,,
TriStar Pictures¬,USA¬,Peter Markle¬,Drama¬,Bat*21¬,R¬,105¬,William C. Anderson¬,1988¬,,,
Burrowes Film Group¬,Australia¬,Geoff Burrowes¬,Adventure¬,Return to Snowy River¬,PG¬,110¬,Geoff Burrowes¬,1988¬,,,
Aspen Film Society¬,USA¬,Paul Golding¬,Horror¬,Pulse¬,PG-13¬,95¬,Paul Golding¬,1988¬,,,
The Mount Company¬,USA¬,Steven Kampmann¬,Drama¬,Stealing Home¬,PG-13¬,98¬,Steven Kampmann¬,1988¬,,,
Warner Bros.¬,USA¬,Alan Metter¬,Comedy¬,Moving¬,R¬,89¬,Andy Breckman¬,1988¬,,,
New World Entertainment Films¬,USA¬,Paul Flaherty¬,Comedy¬,18 Again!¬,PG¬,93¬,Josh Goldstein¬,1988¬,,,
Weintraub Entertainment Group¬,USA¬,David Anspaugh¬,Drama¬,Fresh Horses¬,PG-13¬,105¬,Larry Ketron¬,1988¬,,,
New Line Cinema¬,USA¬,Paul Bogart¬,Comedy¬,Torch Song Trilogy¬,R¬,120¬,Harvey Fierstein¬,1988¬,,,
Helpern ¬, Meltzer¬,USA¬,Mark Goldblatt¬,3588626.0¬,Dead Heat¬,290688¬,5127¬,Terry Black¬,1988¬,,
Miracle Pictures¬,USA¬,Jim Wynorski¬,Comedy¬,Not of This Earth¬,R¬,81¬,R.J. Robertson¬,1988¬,,,
Columbia Pictures Corporation¬,USA¬,Richard Benjamin¬,Drama¬,Little Nikita¬,PG¬,98¬,John Hill¬,1988¬,,,
Columbia Pictures Corporation¬,USA¬,David Seltzer¬,Comedy¬,Punchline¬,R¬,128¬,David Seltzer¬,1988¬,,,
Silver Screen Partners III¬,USA¬,Ferdinand Fairfax¬,Action¬,The Rescue¬,PG¬,100¬,Jim Thomas¬,1988¬,,,
"Cannon Group, The¬",USA¬,Aaron Norris¬,Action¬,Braddock: Missing in Action III¬,R¬,101¬,Steve Bing¬,1988¬,,,
Carolco Pictures¬,Canada¬,Sidney J. Furie¬,Action¬,Iron Eagle II¬,PG¬,100¬,Kevin Alyn Elders¬,1988¬,,,
Les Films Christian Fechner¬,France¬,Bruno Nuytten¬,Biography¬,Camille Claudel¬,R¬,158¬,Reine-Marie Paris¬,1988¬,,,
Paramount Pictures¬,USA¬,Randal Kleiser¬,Adventure¬,Big Top Pee-wee¬,PG¬,86¬,Paul Reubens¬,1988¬,,,
Atlantic Entertainment Group¬,UK¬,Mike Figgis¬,Crime¬,Stormy Monday¬,R¬,93¬,Mike Figgis¬,1988¬,,,
Management Company Entertainment Group (MCEG)¬,USA¬,Keith Gordon¬,Drama¬,The Chocolate War¬,R¬,100¬,Robert Cormier¬,1988¬,,,
In-Gear Film Production¬,Hong Kong¬,Kar-Wai Wong¬,Crime¬,As Tears Go By¬,Not specified¬,102¬,Jeffrey Lau¬,1988¬,,,
Metro-Goldwyn-Mayer (MGM)¬,USA¬,Janet Greek¬,Drama¬,Spellbinder¬,R¬,99¬,Tracy Torm�¬,1988¬,,,
Hemdale¬,USA¬,Harold Becker¬,Drama¬,The Boost¬,R¬,95¬,Ben Stein¬,1988¬,,,
Universal Pictures¬,USA¬,Paul Mazursky¬,Comedy¬,Moon Over Parador¬,PG-13¬,103¬,Charles G. Booth¬,1988¬,,,
Touchstone Pictures¬,USA¬,John R. Cherry III¬,Comedy¬,Ernest Saves Christmas¬,PG¬,95¬,Ed Turner¬,1988¬,,,
Atlantic Entertainment Group¬,UK¬,Chris Menges¬,Drama¬,A World Apart¬,PG¬,100¬,Shawn Slovo¬,1988¬,,,
Atlantic Entertainment Group¬,USA¬,James B. Harris¬,Crime¬,Cop¬,R¬,110¬,James Ellroy¬,1988¬,,,
"Movie Group, The¬",UK¬,David Green¬,Comedy¬,Buster¬,R¬,91¬,Colin Shindler¬,1988¬,,,
Warner Bros.¬,USA¬,Joan Micklin Silver¬,Comedy¬,Crossing Delancey¬,PG¬,97¬,Susan Sandler¬,1988¬,,,
Working Title Films¬,UK¬,Bernard Rose¬,Drama¬,Paperhouse¬,PG-13¬,92¬,Catherine Storr¬,1988¬,,,
MTM Enterprises¬,USA¬,Robert Mulligan¬,Drama¬,Clara's Heart¬,PG-13¬,100¬,Joseph Olshan¬,1988¬,,,
Shapiro-Glickenhaus Entertainment¬,USA¬,James Glickenhaus¬,Action¬,Shakedown¬,R¬,93¬,James Glickenhaus¬,1988¬,,,
Orion Pictures¬,USA¬,Michael Ritchie¬,Comedy¬,The Couch Trip¬,R¬,97¬,Ken Kolb¬,1988¬,,,
Col.Ima.Son¬,France¬,Ren� Laloux¬,Animation¬,Gandahar¬,PG¬,78¬,Ren� Laloux¬,1988¬,,,
Paramount Pictures¬,USA¬,Marisa Silver¬,Drama¬,Permanent Record¬,PG-13¬,91¬,Jarre Fees¬,1988¬,,,
TriStar Pictures¬,Canada¬,Pen Densham¬,Drama¬,The Kiss¬,R¬,101¬,Tom Ropelewski¬,1988¬,,,
CB Films¬,France¬,Catherine Breillat¬,Romance¬,36 fillette¬,Not specified¬,88¬,Catherine Breillat¬,1988¬,,,
Golan-Globus Productions¬,USA¬,William Tannen¬,Action¬,Hero and the Terror¬,R¬,96¬,Michael Blodgett¬,1988¬,,,
Warner Bros.¬,USA¬,Michael Dinner¬,Comedy¬,Hot to Trot¬,PG¬,100¬,Stephen Neigher¬,1988¬,,,
New Visions¬,USA¬,Taylor Hackford¬,Drama¬,Everybody's All-American¬,R¬,127¬,Frank Deford¬,1988¬,,,
Sheen¬,Greenblatt Productions¬,West Germany¬,Leo Penn¬,229556.0¬,Judgement in Berlin¬,60588¬,571¬,Herbert J. Stern¬,1988¬,,
Vestron Pictures¬,USA¬,Roger Vadim¬,Comedy¬,And God Created Woman¬,R¬,100¬,R.J. Stewart¬,1988¬,,,
British Screen Productions¬,UK¬,Mike Leigh¬,Comedy¬,High Hopes¬,PG¬,108¬,Mike Leigh¬,1988¬,,,
Touchstone Pictures¬,USA¬,Leonard Nimoy¬,Drama¬,The Good Mother¬,R¬,100¬,Michael Bortman¬,1988¬,,,
Cecchi Gori Group Tiger Cinematografica¬,USA¬,Blake Edwards¬,Crime¬,Sunset¬,R¬,102¬,Rod Amateau¬,1988¬,,,
Working Title Films¬,UK¬,Martin Stellman¬,Crime¬,For Queen & Country¬,R¬,105¬,Martin Stellman¬,1988¬,,,
Virgin Vision¬,USA¬,Matthew Chapman¬,Drama¬,Heart of Midnight¬,R¬,93¬,Matthew Chapman¬,1988¬,,,
Columbia Pictures Corporation¬,USA¬,Daniel Petrie¬,Drama¬,Rocket Gibraltar¬,PG¬,99¬,Amos Poe¬,1988¬,,,
Cinema Group¬,USA¬,Rowdy Herrington¬,Crime¬,Jack's Back¬,R¬,97¬,Rowdy Herrington¬,1988¬,,,
De Laurentiis Entertainment Group (DEG)¬,USA¬,Bill Fishman¬,Comedy¬,Tapeheads¬,R¬,93¬,Bill Fishman¬,1988¬,,,
Compact Yellowbill¬,UK¬,Charles Sturridge¬,Drama¬,A Handful of Dust¬,PG¬,100¬,Derek Granger¬,1988¬,,,
HandMade Films¬,UK¬,Nicolas Roeg¬,Drama¬,Track 29¬,R¬,100¬,Dennis Potter¬,1988¬,,,
Golan-Globus Productions¬,USA¬,Boaz Davidson¬,Romance¬,Salsa¬,PG¬,98¬,Boaz Davidson¬,1988¬,,,
No Frills Film Production¬,USA¬,Andrew Fleming¬,Horror¬,Bad Dreams¬,R¬,84¬,Andrew Fleming¬,1988¬,,,
Columbia Pictures Corporation¬,USA¬,Pat O'Connor¬,Comedy¬,Stars and Bars¬,R¬,94¬,William Boyd¬,1988¬,,,
United Artists¬,USA¬,David Beaird¬,Comedy¬,It Takes Two¬,PG-13¬,81¬,Richard Christian Matheson¬,1988¬,,,
Atlantic Entertainment Group¬,UK¬,Paul Schrader¬,Biography¬,Patty Hearst¬,R¬,108¬,Patricia Hearst¬,1988¬,,,
Warner Bros.¬,USA¬,Bud Yorkin¬,Comedy¬,Arthur 2: On the Rocks¬,PG¬,113¬,Steve Gordon¬,1988¬,,,
Silver Screen Partners III¬,USA¬,Chris Columbus¬,Comedy¬,Heartbreak Hotel¬,PG-13¬,97¬,Chris Columbus¬,1988¬,,,
MK2 Productions¬,France¬,Claude Chabrol¬,Drama¬,Story of Women¬,Not specified¬,108¬,Colo Tavernier¬,1988¬,,,
Force 10 Productions (I)¬,USA¬,Mark Rosenthal¬,Comedy¬,The In Crowd¬,PG¬,95¬,Lawrence Konner¬,1988¬,,,
Metro-Goldwyn-Mayer (MGM)¬,USA¬,Donald P. Bellisario¬,Action¬,Last Rites¬,R¬,103¬,Donald P. Bellisario¬,1988¬,,,
"Cannon Group, The¬",USA¬,J. Lee Thompson¬,Action¬,Messenger of Death¬,R¬,91¬,Rex Burns¬,1988¬,,,
Cannon International¬,USA¬,Aaron Norris¬,War¬,Platoon Leader¬,R¬,97¬,Andrew Deutsch¬,1988¬,,,
Nelson Entertainment¬,USA¬,Alan Rudolph¬,Comedy¬,The Moderns¬,R¬,126¬,Alan Rudolph¬,1988¬,,,
TriStar Pictures¬,USA¬,Ted Kotcheff¬,Comedy¬,Switching Channels¬,PG¬,105¬,Ben Hecht¬,1988¬,,,
Caroline Productions¬,France¬,Claire Denis¬,Drama¬,Chocolat¬,PG-13¬,105¬,Claire Denis¬,1988¬,,,
Island Pictures¬,UK¬,Caleb Deschanel¬,Drama¬,Crusoe¬,PG-13¬,91¬,Daniel Defoe¬,1988¬,,,
British Film Institute (BFI)¬,UK¬,Terence Davies¬,Drama¬,"Distant Voices, Still Lives¬",PG-13¬,85¬,Terence Davies¬,1988¬,,,
Incorporated Television Company (ITC)¬,UK¬,Piers Haggard¬,Drama¬,A Summer Story¬,PG-13¬,95¬,John Galsworthy¬,1988¬,,,
Not specified¬,USA¬,Danny Bilson¬,Comedy¬,The Wrong Guys¬,PG¬,100¬,Paul De Meo¬,1988¬,,,
Twentieth Century Fox Film Corporation¬,USA¬,Christopher Crowe¬,Action¬,Off Limits¬,R¬,102¬,Christopher Crowe¬,1988¬,,,
Warner Bros.¬,USA¬,Daniel Goldberg¬,Comedy¬,Feds¬,PG-13¬,90¬,Len Blum¬,1988¬,,,
Orion Pictures¬,USA¬,Peter Yates¬,Thriller¬,The House on Carroll Street¬,PG¬,101¬,Walter Bernstein¬,1988¬,,,
United British Artists (UBA)¬,UK¬,Francis Megahy¬,Action¬,Taffin¬,R¬,96¬,David Ambrose¬,1988¬,,,
Orion Pictures¬,USA¬,Robert M. Young¬,Drama¬,Dominick and Eugene¬,PG-13¬,111¬,Corey Blechman¬,1988¬,,,
Jolly Russell Productions¬,UK¬,Ken Russell¬,Biography¬,Salome's Last Dance¬,R¬,89¬,Oscar Wilde¬,1988¬,,,
Crescent Moon¬,USA¬,Peter Bogdanovich¬,Comedy¬,Illegally Yours¬,PG¬,102¬,Michael Kaplan¬,1988¬,,,
Continental Film Group Ltd.¬,USA¬,Amin Q. Chaudhri¬,Drama¬,Tiger Warsaw¬,R¬,100¬,Roy London¬,1988¬,,,
Trans World Entertainment (TWE)¬,USA¬,David Stevens¬,Crime¬,Kansas¬,R¬,100¬,Spencer Eastman¬,1988¬,,,
